,Former Atlanta Falcons player Justin Crawford has been charged with aggravated child molestation and sodomy https://t.co/Acx34d7D4T,Tue Oct 16 11:16:31 +0000 2018,34280715,False,False.1,0,Unnamed: 6,Unnamed: 7,Unnamed: 8,[],[].1,Unnamed: 11,"Watch FOX 17 News Nashville at 5:30 p.m., 9 p.m. and 10 p.m. and FOX 17 This Morning weekdays from 4 a.m.–9 a.m.",7627,73860,Unnamed: 15,3988,en,919,"Nashville, TN",149323,[].2
1398854,RT @XavierDLeau: Oh no Hill..... https://t.co/cAbuJIOsnQ,Tue Oct 16 11:36:01 +0000 2018,3000786645,False,False,2,17965521.0,Oh no Hill..... https://t.co/cAbuJIOsnQ,False,[],"[{'screen_name': 'XavierDLeau', 'name': ""Xavier D'Leau"", 'id': 17965521, 'id_str': '17965521', 'indices': [3, 15]}]",,God-fearing and God-loving. Anti-law school evangelist. ISFJ. Recovering  undercover over-lover. I like to do nerdy stuff with my friends.,176,86,,1516,en,0,East Atlanta,5269,[]
1398858,RT @FOXSportsBraves: Chopcast: Brian Snitker is set to manage the @Braves into the next decade but Chuck Hernandez is out as pitching coach…,Tue Oct 16 11:36:01 +0000 2018,22016177,False,False,7,22016177.0,Chopcast: Brian Snitker is set to manage the @Braves into the next decade but Chuck Hernandez is out as pitching co… https://t.co/rdLjfRBxYI,True,[],"[{'screen_name': 'FOXSportsBraves', 'name': 'FOX Sports: Braves', 'id': 22016177, 'id_str': '22016177', 'indices': [3, 19]}, {'screen_name': 'Braves', 'name': 'Atlanta Braves', 'id': 21436663, 'id_str': '21436663', 'indices': [66, 73]}]",,FOX Sports South & FOX Sports Southeast: The official television home of the Atlanta Braves. Stream ATL's Local 9 wherever you go with FOX Sports GO.,5984,59491,,267,en,773,"Atlanta, GA",48121,[]
1398926,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:35:10 +0000 2018,3168601011,False,False,141,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,,42014,357,,635,en,13,,101319,[]
1400928,"RT @Blk_Hermione: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:32:13 +0000 2018,784053599697510401,False,False,754,1.0367428259188777e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/xNm8LZj3e5",True,[],"[{'screen_name': 'Blk_Hermione', 'name': '\U0001f9d9🏾\u200d♀️💫', 'id': 1036742825918877696, 'id_str': '1036742825918877696', 'indices': [3, 16]}]",,"Daughter, Momma, Sister, and soon to b GMA,Sports lover..Go Cubs Go!! Old School Music 🎶 rocks!! RIP Prince 💜💜Best Bud Jax/Lab & Pit mix. Not the Breed",70144,439,,375,en,1,,27707,[]
1402088,"RT @Jason_Pollock: This incident just took place at the Cumberland Mall, Atlanta. Look how this officer to touching this young kid. He woul…",Tue Oct 16 11:31:04 +0000 2018,853652590659330052,False,False,147,18363508.0,"This incident just took place at the Cumberland Mall, Atlanta. Look how this officer to touching this young kid. He… https://t.co/jJN3a2Uyto",True,[],"[{'screen_name': 'Jason_Pollock', 'name': 'Jason Pollock', 'id': 18363508, 'id_str': '18363508', 'indices': [3, 17]}]",,AAAAA AAAAA AAAAA ES SCHMERZT AAAAA AAAAA AAAAA he/him,146845,555,,1353,de,6,Jung Suizidal Linksradikal,60354,[]
1402169,"RT @isharrypride: Harry met Kaylan backstage of his show in Atlanta (11, June 2018), with help from @MakeAWish, also following her on twitt…",Tue Oct 16 11:31:03 +0000 2018,981948294896041984,False,False,23,512341863.0,"Harry met Kaylan backstage of his show in Atlanta (11, June 2018), with help from @MakeAWish, also following her on… https://t.co/41wz89h0h3",True,[],"[{'screen_name': 'isharrypride', 'name': 'gabri', 'id': 512341863, 'id_str': '512341863', 'indices': [3, 16]}, {'screen_name': 'MakeAWish', 'name': 'Make-A-Wish America', 'id': 61903300, 'id_str': '61903300', 'indices': [100, 110]}]",,"I draw, I love.
I literally have all of EXO as my bias.   IG: sehunsoctopus (art) sehyungforlife.exo (Sehun fan account)",5794,203,,509,en,0,,2832,[]
1403899,"RT @CatwalkDarling: I truly will never understand it unless you live in Atlanta. Cuz, baby these niggas pure trash here. https://t.co/VqAbz…",Tue Oct 16 11:36:06 +0000 2018,734980046633459712,False,False,1,24224516.0,"I truly will never understand it unless you live in Atlanta. Cuz, baby these niggas pure trash here. https://t.co/VqAbz4oNiw",False,[],"[{'screen_name': 'CatwalkDarling', 'name': 'Mikey...', 'id': 24224516, 'id_str': '24224516', 'indices': [3, 18]}]",,🍊📿🌌📓🔌🏖♊️♒️♌️✖️⛵️🤖👑🎁🔮🎙🐍👆🏾🎰💎🔑🌻🐢🤸🏾‍♂️🎶🦍🌕🏝🎀©🌺🐆🗯🍳🏆📀💋🏃🏾🍭🎢📟💩✌🏾🦂🥊🎫,102,437,,211,en,6,"Fort Lauderdale, FL",43191,[]
1408084,RT @nowthisnews: Republicans split a Black college in half to win elections in this state — but this isn't anything new for the GOP https:/…,Tue Oct 16 11:30:41 +0000 2018,3000786645,False,False,211,701725963.0,Republicans split a Black college in half to win elections in this state — but this isn't anything new for the GOP https://t.co/I9YQM3ukUF,False,[],"[{'screen_name': 'nowthisnews', 'name': 'NowThis', 'id': 701725963, 'id_str': '701725963', 'indices': [3, 15]}]",,God-fearing and God-loving. Anti-law school evangelist. ISFJ. Recovering  undercover over-lover. I like to do nerdy stuff with my friends.,176,86,,1516,en,0,East Atlanta,5269,[]
1408363,RT @AkilahDuniani: 586 lee st #i Atl 30310 https://t.co/FVdxcaqDsR,Tue Oct 16 11:30:32 +0000 2018,284823865,False,False,4,4867688146.0,586 lee st #i Atl 30310 https://t.co/FVdxcaqDsR,False,"[{'text': 'i', 'indices': [30, 32]}]","[{'screen_name': 'AkilahDuniani', 'name': 'Akilah Duniani', 'id': 4867688146, 'id_str': '4867688146', 'indices': [3, 17]}]",,,17760,1072,,910,en,10,,34178,['i']
1409039,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:35:10 +0000 2018,3168601011,False,False,142,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,,42014,357,,635,en,13,,101319,[]
1409053,RT @carmenmmachado: I can *finally* say something! HER BODY AND OTHER PARTIES is officially in development over at @FXNetworks. FX has made…,Tue Oct 16 11:35:09 +0000 2018,273519049,False,False,324,14140714.0,I can *finally* say something! HER BODY AND OTHER PARTIES is officially in development over at @FXNetworks. FX has… https://t.co/eXTfhdPOsR,True,[],"[{'screen_name': 'carmenmmachado', 'name': 'Carnage ""The Hatchet"" Machado', 'id': 14140714, 'id_str': '14140714', 'indices': [3, 18]}, {'screen_name': 'FXNetworks', 'name': 'FXNetworks', 'id': 16421962, 'id_str': '16421962', 'indices': [115, 126]}]",,"Writer of fiction, nonfiction. Teaches at @sarahlawrence @writinginst. Mom of 2 kids, puppy. A SMALL REVOLUTION (@LittleABooks)",23322,3715,,3514,en,110,Outside NYC,26311,[]
1409101,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:35:08 +0000 2018,225071374,False,False,142,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,"I love keto, classic movies, PC games, Star Wars, and am a proud SJW. My politics are informed by my love of Star Wars. Engineer. I don't expect follow backs.",77992,2084,,2120,en,22,Washington State,114890,[]
1409119,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:35:05 +0000 2018,1003820051231924224,False,False,142,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,I am autistic and Malec is my EVERYTHING #SaveShadowhunters #TeamMalec #TeamEdom 😈💘😈💘😈💘,35484,240,,400,en,1,Dumb Dumb Town,10338,[]
1409138,"RT @puppyluvr312: @drscott_atlanta @Golfinggary5222 @realDonaldTrump @CDCgov Please also remind him...

Pain patients vote and nimber in th…",Tue Oct 16 11:35:04 +0000 2018,93051303,False,False,2,75282133.0,"@drscott_atlanta @Golfinggary5222 @realDonaldTrump @CDCgov Please also remind him...

Pain patients vote and nimber… https://t.co/wteNXvUKI9",True,[],"[{'screen_name': 'puppyluvr312', 'name': 'J. A. G.  🐴🦋🇺🇸🐩', 'id': 75282133, 'id_str': '75282133', 'indices': [3, 16]}, {'screen_name': 'drscott_atlanta', 'name': 'DrScott', 'id': 61015562, 'id_str': '61015562', 'indices': [18, 34]}, {'screen_name': 'Golfinggary5222', 'name': 'Patriot Gary', 'id': 838114538868342787, 'id_str': '838114538868342787', 'indices': [35, 51]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [52, 68]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [69, 76]}]",,"willing to listen to intelligent people, MAGA. SUPPORT OUR PRESIDENT. DRAIN THE SWAMP. SUPPORT OUR VETS. CONVICT THE CLINTONS Etal!!",85379,2754,,1320,en,4,"Hawaii, USA",38219,[]
1409158,"RT @Blk_Hermione: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:35:04 +0000 2018,957957184347877376,False,False,755,1.0367428259188777e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/xNm8LZj3e5",True,[],"[{'screen_name': 'Blk_Hermione', 'name': '\U0001f9d9🏾\u200d♀️💫', 'id': 1036742825918877696, 'id_str': '1036742825918877696', 'indices': [3, 16]}]",,"Historian, Artist, kemetic science,spirituality, political science,fashion",8729,237,,280,en,1,"Florida, USA",2126,[]
1409383,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:34:26 +0000 2018,17696218,False,False,142,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,no borders. whatever. THE human race. #TheResistance,3506,751,,3252,en,6,where ever  ,25138,[]
1409768,RT @Distinctboxes: Amazing Dog Sculpture at Atlanta Botanical Garden https://t.co/Ra8HTE1Xtr,Tue Oct 16 11:33:26 +0000 2018,705002155367899136,False,False,69,2682105606.0,Amazing Dog Sculpture at Atlanta Botanical Garden https://t.co/Ra8HTE1Xtr,False,[],"[{'screen_name': 'Distinctboxes', 'name': 'John Evans', 'id': 2682105606, 'id_str': '2682105606', 'indices': [3, 17]}]",,"Love all animals, most books and other art forms, very few humans. I think I'm HILARIOUS!",48767,275,,351,en,14,"Georgia, USA",22121,[]
1409851,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:33:26 +0000 2018,2570615502,False,False,142,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,,100096,9007,,902,en,168,,147852,[]
1411093,"RT @Blk_Hermione: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:32:13 +0000 2018,784053599697510401,False,False,755,1.0367428259188777e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/xNm8LZj3e5",True,[],"[{'screen_name': 'Blk_Hermione', 'name': '\U0001f9d9🏾\u200d♀️💫', 'id': 1036742825918877696, 'id_str': '1036742825918877696', 'indices': [3, 16]}]",,"Daughter, Momma, Sister, and soon to b GMA,Sports lover..Go Cubs Go!! Old School Music 🎶 rocks!! RIP Prince 💜💜Best Bud Jax/Lab & Pit mix. Not the Breed",70144,439,,375,en,1,,27707,[]
1412188,"RT @Blk_Hermione: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:31:05 +0000 2018,67203827,False,False,755,1.0367428259188777e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/xNm8LZj3e5",True,[],"[{'screen_name': 'Blk_Hermione', 'name': '\U0001f9d9🏾\u200d♀️💫', 'id': 1036742825918877696, 'id_str': '1036742825918877696', 'indices': [3, 16]}]",,"Father, USN veteran-Desert Shield/Storm-VF-33,CV-66, NAVLANTMETOCCEN Fmr AmLeg Cdr #1millionveteransmarch #vetsforgunreform #vetsresist Alt Acct=@grnmtnboy4",6246,12637,,6071,en,18,"Vermontah, I do what I wanta",2277,[]
1412269,"RT @Jason_Pollock: This incident just took place at the Cumberland Mall, Atlanta. Look how this officer to touching this young kid. He woul…",Tue Oct 16 11:31:04 +0000 2018,853652590659330052,False,False,147,18363508.0,"This incident just took place at the Cumberland Mall, Atlanta. Look how this officer to touching this young kid. He… https://t.co/jJN3a2Uyto",True,[],"[{'screen_name': 'Jason_Pollock', 'name': 'Jason Pollock', 'id': 18363508, 'id_str': '18363508', 'indices': [3, 17]}]",,AAAAA AAAAA AAAAA ES SCHMERZT AAAAA AAAAA AAAAA he/him,146846,555,,1353,de,6,Jung Suizidal Linksradikal,60354,[]
1414188,"RT @puppyluvr312: @drscott_atlanta @Golfinggary5222 @realDonaldTrump @CDCgov Please also remind him...

Pain patients vote and nimber in th…",Tue Oct 16 11:35:04 +0000 2018,93051303,False,False,2,75282133.0,"@drscott_atlanta @Golfinggary5222 @realDonaldTrump @CDCgov Please also remind him...

Pain patients vote and nimber… https://t.co/wteNXvUKI9",True,[],"[{'screen_name': 'puppyluvr312', 'name': 'J. A. G.  🐴🦋🇺🇸🐩', 'id': 75282133, 'id_str': '75282133', 'indices': [3, 16]}, {'screen_name': 'drscott_atlanta', 'name': 'DrScott', 'id': 61015562, 'id_str': '61015562', 'indices': [18, 34]}, {'screen_name': 'Golfinggary5222', 'name': 'Patriot Gary', 'id': 838114538868342787, 'id_str': '838114538868342787', 'indices': [35, 51]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [52, 68]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [69, 76]}]",,"willing to listen to intelligent people, MAGA. SUPPORT OUR PRESIDENT. DRAIN THE SWAMP. SUPPORT OUR VETS. CONVICT THE CLINTONS Etal!!",85379,2754,,1321,en,4,"Hawaii, USA",38219,[]
1415429,"#BLACKEXISTENCE kravenphotography
・・・
Water Bearer
Model: @_sexyyslim 
MUA: @misdimples4 
Photo: kravenphotography… https://t.co/doqTvmi5Yt",Tue Oct 16 11:32:51 +0000 2018,2357170676,True,False,0,,,,"[{'text': 'BLACKEXISTENCE', 'indices': [0, 15]}]","[{'screen_name': '_sexyyslim', 'name': 'Leesha B', 'id': 1856504190, 'id_str': '1856504190', 'indices': [58, 69]}, {'screen_name': 'misdimples4', 'name': 'Jennifer Whitee', 'id': 275437094, 'id_str': '275437094', 'indices': [76, 88]}]",,"Connecting the dots of black reality from the past, present and future!",1362,138,,150,en,2,"Atlanta, GA",2809,['BLACKEXISTENCE']
1417079,I added a video to a @YouTube playlist https://t.co/KP5ky8z4aI Who is Right? Atlanta Police or Hotel Guest?,Tue Oct 16 11:31:06 +0000 2018,351774595,False,False,0,,,,[],"[{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [21, 29]}]",,Fight for your planet not your government,1352,87,,177,en,1,Texas,4678,[]
1417319,"RT @Jason_Pollock: This incident just took place at the Cumberland Mall, Atlanta. Look how this officer to touching this young kid. He woul…",Tue Oct 16 11:31:04 +0000 2018,853652590659330052,False,False,147,18363508.0,"This incident just took place at the Cumberland Mall, Atlanta. Look how this officer to touching this young kid. He… https://t.co/jJN3a2Uyto",True,[],"[{'screen_name': 'Jason_Pollock', 'name': 'Jason Pollock', 'id': 18363508, 'id_str': '18363508', 'indices': [3, 17]}]",,AAAAA AAAAA AAAAA ES SCHMERZT AAAAA AAAAA AAAAA he/him,146847,555,,1353,de,6,Jung Suizidal Linksradikal,60354,[]
1418093,Customs beagle named Hardy detects roasted pig’s head in luggage at Atlanta airport https://t.co/PeN4rXSQgw https://t.co/28QYq1toDM,Tue Oct 16 11:30:44 +0000 2018,997967975587164160,False,False,0,,,,[],[],,,0,13486,,1963,en,33,United States,195,[]
1418184,RT @nowthisnews: Republicans split a Black college in half to win elections in this state — but this isn't anything new for the GOP https:/…,Tue Oct 16 11:30:41 +0000 2018,3000786645,False,False,212,701725963.0,Republicans split a Black college in half to win elections in this state — but this isn't anything new for the GOP https://t.co/I9YQM3ukUF,False,[],"[{'screen_name': 'nowthisnews', 'name': 'NowThis', 'id': 701725963, 'id_str': '701725963', 'indices': [3, 15]}]",,God-fearing and God-loving. Anti-law school evangelist. ISFJ. Recovering  undercover over-lover. I like to do nerdy stuff with my friends.,176,86,,1516,en,0,East Atlanta,5269,[]
1419049,Isabel Rivera from 'Sparkles In The ATL' did it again! That little hat and scarf are just perfect! A more adorable… https://t.co/lcMu0pLbJK,Tue Oct 16 11:36:21 +0000 2018,1003997267660038144,True,False,0,,,,[],[],,"Unique In The Creek is a new innovative wreathing system, our specialized frames take the guess work out of wreathing! You’ve been waiting for this! #imadethis",2735,183,,361,en,1,,769,[]
1419051,"RT @Blk_Hermione: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:36:20 +0000 2018,136704032,False,False,755,1.0367428259188777e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/xNm8LZj3e5",True,[],"[{'screen_name': 'Blk_Hermione', 'name': '\U0001f9d9🏾\u200d♀️💫', 'id': 1036742825918877696, 'id_str': '1036742825918877696', 'indices': [3, 16]}]",,Here for the politics. I don't tolerate racial/equality ignorance! #TheResistance Walter White Fan! Sailors vocabulary! 🇺🇸 I support vets! 1A. 🦒🦁🐒🐶🦍🐘,21903,1385,,1598,en,27,,15466,[]
1419184,RT @carmenmmachado: I can *finally* say something! HER BODY AND OTHER PARTIES is officially in development over at @FXNetworks. FX has made…,Tue Oct 16 11:35:09 +0000 2018,273519049,False,False,325,14140714.0,I can *finally* say something! HER BODY AND OTHER PARTIES is officially in development over at @FXNetworks. FX has… https://t.co/eXTfhdPOsR,True,[],"[{'screen_name': 'carmenmmachado', 'name': 'Carnage ""The Hatchet"" Machado', 'id': 14140714, 'id_str': '14140714', 'indices': [3, 18]}, {'screen_name': 'FXNetworks', 'name': 'FXNetworks', 'id': 16421962, 'id_str': '16421962', 'indices': [115, 126]}]",,"Writer of fiction, nonfiction. Teaches at @sarahlawrence @writinginst. Mom of 2 kids, puppy. A SMALL REVOLUTION (@LittleABooks)",23322,3715,,3514,en,110,Outside NYC,26311,[]
1419238,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:35:08 +0000 2018,225071374,False,False,142,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,"I love keto, classic movies, PC games, Star Wars, and am a proud SJW. My politics are informed by my love of Star Wars. Engineer. I don't expect follow backs.",77993,2084,,2120,en,22,Washington State,114890,[]
1419279,"RT @puppyluvr312: @drscott_atlanta @Golfinggary5222 @realDonaldTrump @CDCgov Please also remind him...

Pain patients vote and nimber in th…",Tue Oct 16 11:35:04 +0000 2018,93051303,False,False,2,75282133.0,"@drscott_atlanta @Golfinggary5222 @realDonaldTrump @CDCgov Please also remind him...

Pain patients vote and nimber… https://t.co/wteNXvUKI9",True,[],"[{'screen_name': 'puppyluvr312', 'name': 'J. A. G.  🐴🦋🇺🇸🐩', 'id': 75282133, 'id_str': '75282133', 'indices': [3, 16]}, {'screen_name': 'drscott_atlanta', 'name': 'DrScott', 'id': 61015562, 'id_str': '61015562', 'indices': [18, 34]}, {'screen_name': 'Golfinggary5222', 'name': 'Patriot Gary', 'id': 838114538868342787, 'id_str': '838114538868342787', 'indices': [35, 51]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [52, 68]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [69, 76]}]",,"willing to listen to intelligent people, MAGA. SUPPORT OUR PRESIDENT. DRAIN THE SWAMP. SUPPORT OUR VETS. CONVICT THE CLINTONS Etal!!",85379,2754,,1322,en,4,"Hawaii, USA",38219,[]
1422534,"RT @Jason_Pollock: This incident just took place at the Cumberland Mall, Atlanta. Look how this officer to touching this young kid. He woul…",Tue Oct 16 11:31:04 +0000 2018,853652590659330052,False,False,147,18363508.0,"This incident just took place at the Cumberland Mall, Atlanta. Look how this officer to touching this young kid. He… https://t.co/jJN3a2Uyto",True,[],"[{'screen_name': 'Jason_Pollock', 'name': 'Jason Pollock', 'id': 18363508, 'id_str': '18363508', 'indices': [3, 17]}]",,AAAAA AAAAA AAAAA ES SCHMERZT AAAAA AAAAA AAAAA he/him,146848,555,,1353,de,6,Jung Suizidal Linksradikal,60355,[]
1424099,"HEY ATLANTA! #LOVELOSSFOUND IS COMING YOUR WAY!! READING,  SIGNING, AND Q&amp;A! 

SAVE THE DATE! NOVEMBER 17, 2018
MOR… https://t.co/R7viFoa7Y1",Tue Oct 16 11:36:24 +0000 2018,20001253,True,False,0,,,,"[{'text': 'LOVELOSSFOUND', 'indices': [13, 27]}]",[],,"Daughter. Mother. Bibi. Writer. Life Liver. Love Giver. Author of Love, Loss, Found 
Get yours at https://t.co/Vao16HqkQO!",78,152,,201,en,8,WherevaIneed2be,2284,['LOVELOSSFOUND']
1424101,RT @teamabrams: It’s a rally! Tune in to the #WeAreGeorgia Atlanta Early Vote Rally on Instagram (@staceyabrams) and on Facebook live: http…,Tue Oct 16 11:36:24 +0000 2018,705523610945986560,False,False,155,8.79771304316072e+17,It’s a rally! Tune in to the #WeAreGeorgia Atlanta Early Vote Rally on Instagram (@staceyabrams) and on Facebook li… https://t.co/K4XwS4m03n,True,"[{'text': 'WeAreGeorgia', 'indices': [45, 58]}]","[{'screen_name': 'teamabrams', 'name': 'Team Abrams - Vote Early TODAY', 'id': 879771304316071938, 'id_str': '879771304316071938', 'indices': [3, 14]}, {'screen_name': 'staceyabrams', 'name': 'Stacey Abrams', 'id': 216065430, 'id_str': '216065430', 'indices': [98, 111]}]",,"Liberal, gay mom, Recreation professional, singer, PhD candidate in Psych,resistance supporter, fighter for women's rights",8748,375,,993,en,1,"Virginia, USA",4507,['WeAreGeorgia']
1424329,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:35:08 +0000 2018,225071374,False,False,142,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,"I love keto, classic movies, PC games, Star Wars, and am a proud SJW. My politics are informed by my love of Star Wars. Engineer. I don't expect follow backs.",77993,2084,,2120,en,22,Washington State,114891,[]
1424374,"RT @puppyluvr312: @drscott_atlanta @Golfinggary5222 @realDonaldTrump @CDCgov Please also remind him...

Pain patients vote and nimber in th…",Tue Oct 16 11:35:04 +0000 2018,93051303,False,False,2,75282133.0,"@drscott_atlanta @Golfinggary5222 @realDonaldTrump @CDCgov Please also remind him...

Pain patients vote and nimber… https://t.co/wteNXvUKI9",True,[],"[{'screen_name': 'puppyluvr312', 'name': 'J. A. G.  🐴🦋🇺🇸🐩', 'id': 75282133, 'id_str': '75282133', 'indices': [3, 16]}, {'screen_name': 'drscott_atlanta', 'name': 'DrScott', 'id': 61015562, 'id_str': '61015562', 'indices': [18, 34]}, {'screen_name': 'Golfinggary5222', 'name': 'Patriot Gary', 'id': 838114538868342787, 'id_str': '838114538868342787', 'indices': [35, 51]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [52, 68]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [69, 76]}]",,"willing to listen to intelligent people, MAGA. SUPPORT OUR PRESIDENT. DRAIN THE SWAMP. SUPPORT OUR VETS. CONVICT THE CLINTONS Etal!!",85379,2754,,1323,en,4,"Hawaii, USA",38219,[]
1424563,"RT @TurtlesgaloreMR: Rachel Maddow is literally exposing the corrupt ass county that I live in in GA tonight (Gwinnett, suburb of ATL). The…",Tue Oct 16 11:34:31 +0000 2018,799418890656894977,False,False,41,8.18498447091372e+17,"Rachel Maddow is literally exposing the corrupt ass county that I live in in GA tonight (Gwinnett, suburb of ATL).… https://t.co/uSgQYOxTUs",True,[],"[{'screen_name': 'TurtlesgaloreMR', 'name': 'The Intolerant Liberal You Fear 🌊🗽🇺🇸', 'id': 818498447091372032, 'id_str': '818498447091372032', 'indices': [3, 19]}]",,,31688,183,,383,en,1,"Pittsburgh, PA",14781,[]
1429149,RT @ZachNagel7: Atlanta loves the color red. The Falcons have red. The Hawks have red. The Braves have red. Atlanta United has red. The roa…,Tue Oct 16 11:36:30 +0000 2018,3259235510,False,False,6688,1452541184.0,Atlanta loves the color red. The Falcons have red. The Hawks have red. The Braves have red. Atlanta United has red.… https://t.co/Tk61UdiNls,True,[],"[{'screen_name': 'ZachNagel7', 'name': 'zachary', 'id': 1452541184, 'id_str': '1452541184', 'indices': [3, 14]}]",,:):,1122,112,,131,en,0,,1109,[]
